央视频道,#genre#
CCTV9纪录,http://play.kankanlive.com/live/1698423397390920.m3u8
CCTV10科教,http://txycdn.video.qq.com/1370437003.m3u8?time=1788602887&from=player&cdn=tcloud&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgIC-Se0VySUb02PTXh31oq1ocnHI4t7PTl9dYKJQ23c8uEPPLITP8HcX9Stzh8L9c--kBcLtcbsk21_w8mHimawF5WFXClP4C_JTls2H-8ilAKUvgpMs7FK2i_hD9tk-4u81TUamCPPIDHNfK5htocVu13yaqNwqx2MP64HURZ7H_J_XQEcH8OuDyjPiDBummtprnsAV3F5_M7vmFi3BquYIXBOeuF_HLpuVoQys_8vh7UtZah6nMSVb3gyBC9-BumgkIjCIj_Sje3evamCkMj448D1QRUja7WM6geXyNidqAv4U55OSAYc9P7I9q0xluOIkORzgTykk8d6P_ZTHkUQ8BnOwwrupAGOJh8FhAGMoMj6h7EaDmMOz4u9EK6C5t4SqX8Dnvy9wABzSQRrkmj2ZOX5wFyTWrggCEfgqFmi7SqEp6Iy9IZktbWxc3qFk2NbX6i5PSKjJRisz7pcdel0zxaOFFbdm_Hg2Pz9xbFNIHq0OwIgtK9WC7mHI4uI_0qoBJFJntK1dLA5zIU7VZJ9LjUl8uVQapSX7eFp75FWcpPOBs&drmtype=0
CCTV10科教,http://txycdn.video.qq.com/1370437002.m3u8?time=1788578592&cdn=txycdn&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgINHKFGszuoCf0twJCVUNCd8ZzPiUlOXajFEalsA6hOs1ENMHxxlGROV8C7PEGHvHbOoBcEmUw4TyVgc26ro4d6Ek4WOcigChebXPIOkh1rbTAq0RrrEibbVy_9EWNy7ygm66A-hSQN8Kvy61SjGwZKp22pYiw6oTgtw3LQ_QpTZNzz4awAFTnvvwhaS5kI6Jv8rIEu73jWHvvcF4urjP7QR7mOQDW6i6kH7cfbn_lLSET82XtIsBx849UBN5tDdy8ZI8bb3tHbjmyJa86HYc670REbDUoxI3Ck40vIszpSucrVSpquH-OV-RBGt3nHZlDQ2xZDZb2oLkNr8QIJ0a8jn306sF7BBDDrkDJWNz6yH4yfOVWcweY5SOlVL3aq-foVWMC7TZQam_L-jUPNJTgwvlwMqOUzcFNj1FnfWxkvWiXezb8vxrQCHFmpx8-bNaP20fDCKQHEe7_SykuwCt8hCBMJJJv_w7vkwO1ZlR-nvf2cWo3NdGlCDpu6eHLmvUB4_sjWan9Abskz-myzHGUTNg0S1raW9TaeX-iwFzL7b6CSs3&drmtype=0
CCTV11戏曲,http://txycdn.video.qq.com/1370781503.m3u8?time=1788602876&from=player&cdn=tcloud&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgII-8ySqWhhh8SapSbe7_S2WB43IVxoYiOiUv5lQF0NGZEHKelgA3UDI-hKeoe5E1PyIBcHThpNaP9VGnyHVduZqiTwEgPYvwlqkyu2JeTZXhXFGwxSwTmcqY0OE3BbJF0wCUUe9oa6lJ0_PfG9qDZjF9KxKslqE6bjzrdKRwEheBDhUiPFvk3McRVz3djvMrzHOdsRtJCeqrp-3Ops2gwm10mZgm-WNaOkCxO3vz-B2IFYRqXFtWsqIoKb1M5nku_UQedMxKlH2AFSoO2-rHPQSwc2mlOiqGgTsnG3R43BeHi9QSrzQnDunlB_PerLsI37Rb0UIXmQjGDeMy5VzqgrzgYJUTKxbxx1TNqvg9dKufNG4-pYrhGBM8BeAmYjPigGN9-bMO7c8aorEhmff2D_WDfo6nTAKNgmyFrt5aYv9uAY-5S-trY9zS5C77xFplJ235b95acU-Rgy6YhyfXIv1BwTwzT1TnSV5qSddpR9SLzLSFQoXAqv0tbdqBvLUPohcg6PXBVNg8f1NfX93Aopc5-AgCRBI3LQ6WsoDzAFTW7kCO&drmtype=0
CCTV12社会与法,http://txycdn.video.qq.com/1755789203.m3u8?time=1788602866&from=player&cdn=tcloud&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgIHIWw4u3nfPg-ndpP3NvTfG_pYFnZxRYfBbNbge4OjOBEDhSW4N4vX4pRMlnzdOFTbYBcMWVnmpC5oQD6X_3CIqW3v0CzcNqi7uN_XsLGj-CORWXgxp1dTyU9ceKgznBCZ7L80hRm1Dy1CNjOODALtdHd93XBk3i8qyFFYUl83l_TS2PcqY4ijnQ8ZxTmtFZTS2UMlXSI1bh1693KOtS975hL-vnpYSkxBZuPjb4Y0QQIzthNVvZkBCw6D8pjYkD5VNDgPSrQ3MFnvJVnemsQHdoK2h8FKVmrtKtPomB4YzlxFUb6ZGr8K1gzii3F2MZfBg4bgTojBJKkSYMrvek8uJlVLnRwOzgHl68p23rP-Uxfipu9Zhw-nXQZsaCmGDLLCFRg8L0RKkqE_zimMiUjxDKuL8sPbejaN7d_I0QCqUxfI4OJI9ZzZrFuQGSTYTl5C5_HGFN6tWHlDN35Cch7e1qRJUHZ8gRpiVT2Qqpmf-evDISBBCuGMEUbTBuzKNgejesGbwYnox6LWP-F0rsjrc85sdMFScvsD4pYNAzyaSB8GkD&drmtype=0
CCTV13新闻,http://pull-hs-f5.flive.douyincdn.com/media/stream-696342147108700844/index.m3u8?expire=1789174391&sign=7cb5db2eb18c55728861430d0d2d920c&volcSecret=7cb5db2eb18c55728861430d0d2d920c&volcTime=1789174391&major_anchor_level=common&exp_hrchy=w1&arch_hrchy=w1&t_id=037-20260905085310855BA998EBB6378A4ED1-FQXr3I
CCTV13新闻,http://txycdn.video.qq.com/1369932003.m3u8?time=1788602856&from=player&cdn=tcloud&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgIE-ZC-lqcswEVGhJ52Sl6D8E2j-XG8L7nNMlFd5OOyBkECv41DKHlapwka-RAUs8apEBcHxAmn7cLpU5GmspkhI7SR9tqVrU9gGG1TQQqZRGO-B3q0Fsc6pXuSRdfYHXDFEhyHPSQIzQeLF1c8U2PrREROqbp534ICwRfo-ovAdJLT4KePVmuTGkvHb5FPJscKaNLpcaOBznuwHLv2Ux_AkZ96DZzRJPVePnNwd_glIkJcpUUxJ1jFy-GQN7MyBM8MAUEN7f87ThjW9DC0VFdphGmjAZyfuQ0bVad3na5kIco8XXMqBGK49fC-Kb0oxKGsh25iWzwTxSJFfBhFjfUOo5Sqq_apuVh2WGTggckaCUOTvW6jp_7tSyCwMrF5K7PDqymtVVbLAamb8mICOKaCeGFM52Wd1JuIj57tGFHIQ479No8oQlLB1yzljzMOigpr4Ed6M8PREqFUG9yNwCTbfoPB-31ZflTwAw1W63LKP3HlwO_ke9mdsy1qg7bp_h_CKRc0rsUpvLJYNQYPqb8vUjTDEI1U-S085CtEaF1EnQeP_-&drmtype=0
CCTV13新闻,http://txycdn.video.qq.com/1369932002.m3u8?time=1788578560&cdn=txycdn&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgIDqmt6Bjy6fA77URMU3t8b6BCLX48Wp7NIfgYrlVI30sEI7tJs1Nd0jkvG1CZpHkvrsBcE3Jd94c5ZwIwwDoQhxgRvDxiSSWfrBzJVczD6YV27xyAAQauFw5aovk-gVT0oaHev4kQ902CwdIRnCn3xREJtKkCBDvI0QFol_YZXvHCCBp-GQJkwzVvqBx7zFWYe-LMLxSDqneHUOkM6V0_aVwbWM10W00A-o3XmWnvuCHkHEfvIEnrUPbxQvmfWx_z4tRFRVjYZTA1XYIh4aYGOiWiUWfH02M1MmFW-VwmkxYagVcQ8ekwlv8dgip3nEKA3E_QoWuPRG3RS62Tz19BKZEs9rgMVEnuZVVOrRHKOJPMBgyV-mF4n_VqVil5GQC3DJ3lOaBb53L2Rkkdlo7u8vlXlODuAd72ylq_xVum187UM3sxvjf0yizmmtTV_qtPvHOZ44lLFvX_PJoPO3br_5gsgD_79dPki5h3MbSup4tjx3LeS0KG0hT0nV71lkqQ3Pn4PLd9AmLFI7-iY74NQX7bPryG553cYydjBgnbun08LZP&drmtype=0
CCTV14少儿,http://txycdn.video.qq.com/1755770103.m3u8?time=1788602846&from=player&cdn=tcloud&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgIAC7bySdDq8YZsAQ_8txqe-lYAbYhJ-yDB-SQcn-k_8JEFepH2U6rraWfWEBFIC1XAkBcFCq3e-AwB-jlNpTjaUzy0cptz86bRX47eMut_hA63JdCMMB5jzYXARO4us3mm5XI6WR6CLF0h_1LK-NEbzV5hEeaTLdmSItRCK1ZZbv5d3nDZmj6O1mJACZxCzeqqD71XJt6HZEZBsTKkybV44hlUK7_tWA4GrK2lYgEbPS_iZ3E-Wknr1owJKRL0UC0d-oBaCLmZ0W8BzHUXWRlv5sH4smzRFk1nrYea0NU1cUmi2V8iQNVpuD8dRwloDhLha4VE6XE_kP8mY3BNNQMM0SlCH5Mr6xY66NrsHMGl1LerixjrXZuUPYiwiJwBbU5_-VzAxW4OljM4tYwecztUnVBIhQ_qk2qD7OM8a99NRDVWren0LcHI5Z_b22EyOyfCKubvwlkBF1hJvmSu4GkaxVHBLodWFcozG5OAfdn4AFG6asYE99bUSakr0mi9OLce5XXgyG-1q-_dmdTW4qF2Loa65OaeXx5ypRxks7TPhiDWQd&drmtype=0
CCTV14少儿,http://txycdn2.video.qq.com/1755770102.m3u8?time=1788578550&cdn=txycdn&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgIAOvtfM7Ze4gqSOey7H2yN37Wmqg-vH9J3lFOKC9a5w4EBZB74VShAUToJZ0MWsHUJABcBl7QyDGdyirq4PpMcmAoWEb66XhzCvhmJ84cG5nA7GDnwfyNmUUip-u99fPg5K9PfbvA2s_iVeQMGPY0lwmRcj6-aAyV32WZp7w6-uA-SzHxwrrsDwzcd-G5FQjaQlO0zUZbCDFC5nHpCvEySkXzs4yr82tzBmw5vk7kgDHxpG5GwN9q75-y50j8-rtECIIiWyhFm8gvjNdRJmkdPymoz7RSWVcITPvGn6XC_g5_4dLTuIxJhnNIw-IBVYafQY4p4yXQQAh7ofEBrMsJdPLcdONlG3xng3bQq-by9lt9hBcSa70Btwt_7uO7-844vfpmPFPZIv-4meOXi8qiLfBBfsKMniMq8UmP9uq_pmThj7E73Vz-sPSTXUOsRAcdsM4yPPFzjpE5vrx9wRkDGNWo9AnkSKkkpRif4TE2SKEIqcBctID9Nk3XheJm4KAN0z-MgEkBDb4-jDSRB3lnNN2wbletgPDYeAxLFZhp4Fb_ReO&drmtype=0
CCTV15音乐,http://txycdn.video.qq.com/1370782103.m3u8?time=1788602835&from=player&cdn=tcloud&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgID3G6G-U_fy0h1UputwHCBX2EpKpU2M7z5BGGi0I9RRsEPShVKW-QjSa9FCX2_Luw-IBcIryQJLmH6ZaKIGoewS2gBgQeDW1dR2fdx_wGoOfPUDIw7jtZF1Wq_uT9PuUv4-vMahnMyQd9bVSBCwh6Im3j5ezWJX-0to9S3NeXubzTdhgdfXw_SSPYN41AY5iO5e1_ZSy-jxBM1Auk4QpRGff6rS4fbNc1IoK8Nvnq0hOmerrJZuiaEoxO8y-xZ3fJCxThjNkDY7A5XtcjQxMS6gWqe3r4BBQjzkU70cA36dsNTFQAuPqU69_m_q0b0KswoOIUW9eESK3X-ANKq6W5DZYRAYsjiKGzIUntn1rYTZI9XnntnyOnrlEwSGjJvsUOj-PztvoE7fUvb2bV5Hf5nPZX1vAPNRww51H3N30x1ivqWB2trcaprLOjNO1MoZohDNWJEeugJu47yd_aFr8_9WSPomyH3wZ1HkOr0sgvnlpjlXr3er2vKaTHus2eYOmDahuiknUCngMH-RzmhmgXOzeDLtPwa3skH14TLiO_urXzwiS&drmtype=0
CCTV15音乐,http://txycdn4.video.qq.com/1370782102.m3u8?time=1788578539&cdn=txycdn&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgINnjjaq05Qjwu-r4dUrOQOhSOI5QvMhvriUJNdKJBcwiEEYFV3UlSfJCcXNdi9BkP1YBcB6LgS_kooA0CowGpXcGQcXK8QaLUbf2kHO9xLG2SF89k_JDKtrss7-ZSLIuGi3YSdqoKx6XIlfiPJ7dKQlHeyg7gGCkR5M3aoDP2fV3ezKxBNGULAvBgJoxMsPlu4zJ8Yg3K9C1p6SpksQ6ls2IhVilCv1aMc2Zl85ydLg9asejeX9ZbIxHT2YnpvhoWKACHmAl3B6nB50AwMDZou4TbUMnhvnXI1nf1wLdG2GoXKUVsJMgaV242RSCc4eeihrgxltQiNnWYW1I5Vo8Dfa4sCg1BJ8k4KV_z3j3XpCTj0uogtZxthsp8luGpEZqtX6f1L0KkKi8a6G0tRTcU3-aGA2ZfJVCTEBBnECQlHgz9vqq7pOgwUEGkK3fa7gr-iMlcLAvaXaUK1M-Z_HKPFOab_JBDOCoyf5wHQ3iQ3V2j5jrZ6AbsrE0qp4RRP0BBUE5iLHnEfYW8Sd4Xjzn1oA-Z3zbGR1PyNmI8l0diVc1J_2N&drmtype=0
CCTV16奥林匹克,http://txycdn.video.qq.com/1370437803.m3u8?time=1788602825&from=player&cdn=tcloud&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgIEUVhTZSuNOMHHdXHWTfO8MfF145URmJENwh5E0vgXWQEEcYi1J2S8GG6TXM-4YPDogBcGGsC7Sh-kKVomsKeboC7hVSLxRsVc_FgPB9ud6pj27yRJAzvKS0oheIxd_1A4eNGVKqUf8gQeNyGAJa4aUPxumb3r-E8DEP80LJh_svrvewu64n8dzPRjdwM81XtETc_gdj5vn8l2hbRKScSJzREn-2E4sao-S_4FFwPHeojxwhAjeoe0OJp_QDxpnoN3dljGbDyi8V2_0KRDHZJeTxMiWGMNWA-2K2XhRiLb5GtKpk5CefRSAIQy_sZ8-Mp5TbQWhgG8AhtQ5SX0D1s_6UGoqTQpF9KX0eyzYrHmo5RezGK0osU5_gPQVvq3FRa-pQUKKEX5Wf_Mj7_FBdvqNLGeIkip6_WrEYGiAEOJZwjIZO6pIx2XtdxnAafHfUDQLckevwGONNMOWVfjfP6mYqA10S1LM25y00DyznIW4zagMRnKD_OXy00SRcRQtx3g8Xu66L3ATFBFpKClbbrbGPYBhCRhgeZmVTX45nQiJ7nncP&drmtype=0
CCTV17农业农村,http://txycdn.video.qq.com/1370437903.m3u8?time=1788602815&from=player&cdn=tcloud&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgIMcW90kX1JxaWfTbSBRGxKZWvwVBMLvRG2O1hyBwO4tSEPDEQEhnvmQf2EGof4BrjgUBcM4m-9eXmY1ZcljTH_m7GEPkjh0SdlV1jzTK8iYIK31D2iZ69qshe95dVFISZOrjqg8uGoEiSfeDlnhjjT7PXa0tAb7JECRx7i4f5QUx2nxiiKT7pdRD-bXGWVSAxpzEnxtS8poVUXLapNGD6jxVFWulYM2qDwa735CDKlUGglWqrAs4ZMpX-QViawHGiGdeIczTeK2z8vcGy7rsS2bap7ot4EQqYkZbMQjD4gwyP37WpBCSiAd3i4cxMVSmSAWb9yF_Elw15stQNkRsyOLdQ8y9Fetba6If5gan0YLYNGIuQi7BPn46XQ_ST4e_Do6IvYhsbAhtU9oH7BHbxt6vqRIkrV8G4H6eIBuL7w4H2D8itJEP8UB8AgdZfpSMPCSenqZ2F9tJnJ87xmaD-lvqHVXnE4Nl5xrBC7cKoOLbTOclKnHUjU1-BmozexwGnfQMTE_COTLt82m_U-VCYbLo0RKOaJvex49vvbsa5Av9QyYX&drmtype=0
CCTV17农业农村,http://txycdn5.video.qq.com/1370437902.m3u8?time=1788578519&cdn=txycdn&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgIGZyCpbQUpucuADwZov9lSWHTWb6rtzuRq_N5Ay723ylEJDS6U4_ouTJCHRDn_01EmMBcMhptuMTzMIQS-hHF9N89r5M8v4WD5kPSFRX5HmL0S4kJHwRFU6VMRHh5ku7F9Jswhrzmf-xpMrOFfipLvja44EtkHaxVz0pRgufjrjWPWlBXPC6fHqDYupMDgCM0gFimFtzz2AuQAa4wxKqbeejXphNGXPh20bND8B23wqIPHnEDFLmBUaTgPgKTmzBLVgKs6-pqjsKnXSh5IDbuPSClEfReHOYJ6vwk57tc06vAkwluD6t5n3aP0uOm7PMLIX0Jc-mROcnzGAz6yRPe8XqL8fkiQvTSdY3DYGioGMwrkMYFzTdaLO-dH_d3HJVfmUP8PJV4ZPHNO4uqx8Y6k6TBXfHbTrWVbPLHi6IDoJDUf3AMO71dYdmad_5oC0tyuEnynO3txe1nB1d4DVuIOe7sU9xcfzQlOElWOOfndrshzNRo1W4p3n-wkQwsOozrH8hquLmoycUzeCA2yQcpaMBJFKK9rEHom0QKSlmX2ldWR8f&drmtype=0
CCTV风云足球,http://38.75.136.137:98/gslb/dsdqpub/fyzq.m3u8?auth=testpub
CCTV央视文化精品,http://38.75.136.137:98/gslb/dsdqpub/ysjp.m3u8?auth=testpub
CCTV央视台球,http://38.75.136.137:98/gslb/dsdqpub/ystq.m3u8?auth=testpub
CCTV女性时尚,http://38.75.136.137:98/gslb/dsdqpub/nxss.m3u8?auth=testpub
CCTV第一剧场,http://38.75.136.137:98/gslb/dsdqpub/dyjc.m3u8?auth=testpub
CCTV高尔夫网球,http://38.75.136.137:98/gslb/dsdqpub/gefwq.m3u8?auth=testpub
CCTV怀旧剧场,http://38.75.136.137:98/gslb/dsdqpub/hjjc.m3u8?auth=testpub
CCTV风云剧场,http://38.75.136.137:98/gslb/dsdqpub/fyjc.m3u8?auth=testpub
CCTV风云音乐,http://38.75.136.137:98/gslb/dsdqpub/fyyy.m3u8?auth=testpub
CCTV电视指南,http://38.75.136.137:98/gslb/dsdqpub/dszn.m3u8?auth=testpub
CCTV卫生健康,http://38.75.136.137:98/gslb/dsdqpub/wsjk.m3u8?auth=testpub
卫视频道,#genre#
